data,time_start,time_stop,count_move,caps_num,size_rect,count_rect,screen
20200101,010101,010101,0,0.0,0,0,none
20200529,221811,224816,1391,1762607.0,14124.0,9,20200529-221811-224816.jpg
20200529,224821,231826,1401,1752255.0,4383.0,2,20200529-224821-231826.jpg
20200529,231831,234836,52606,1754250.6666666667,15205.5,3,20200529-231831-234836.jpg
20200529,234841,000001,459,648833.3333333334,1381.5,2,20200529-234841-000001.jpg
20200530,000006,003011,874,1723951.3333333335,1619.0,2,20200530-000006-003011.jpg
20200530,003016,010021,861,1771610.0000000002,1972.0,3,20200530-003016-010021.jpg
20200530,010026,013031,2465,1724159.3333333335,3770.0,6,20200530-010026-013031.jpg
20200530,013036,020041,8570,1726870.0000000002,5761.5,8,20200530-013036-020041.jpg
20200530,021105,024110,10124,1796362.0,8446.5,11,20200530-021105-024110.jpg
20200530,024115,031120,36476,1801019.3333333335,17388.0,32,20200530-024115-031120.jpg
20200530,031125,034130,18742,1795725.6666666667,46962.5,29,20200530-031125-034130.jpg
20200530,034135,041140,20380,1809048.3333333335,139720.0,34,20200530-034135-041140.jpg
20200530,041145,044150,0,1802131.6666666667,0,0,none
20200530,044155,051200,0,1806790.3333333333,0,0,none
20200530,051205,054210,200,1710958.3333333335,181.5,4,20200530-051205-054210.jpg
20200530,060753,063758,22020,1688906.6666666667,3424.5,13,20200530-060753-063758.jpg
20200530,063803,070808,0,1769694.3333333333,0,0,none
20200530,070813,073818,9589,1786303.3333333335,12454.5,27,20200530-070813-073818.jpg
20200530,073823,080828,40538,1723312.0000000002,55005.5,40,20200530-073823-080828.jpg
20200530,080833,083838,24537,1757586.0,30680.0,37,20200530-080833-083838.jpg
20200530,083843,090848,50900,1767923.3333333335,32760.0,30,20200530-083843-090848.jpg
20200530,100921,103926,0,1738942.6666666667,0,0,none
20200530,103931,110936,0,1796847.6666666667,0,0,none
20200530,110941,113946,170,1806514.0000000002,1162.0,6,20200530-110941-113946.jpg
20200530,113951,120956,4358,1784127.6666666667,728.5,13,20200530-113951-120956.jpg
20200530,121001,124006,15515,1670809.6666666667,3724.5,17,20200530-121001-124006.jpg
20200530,124011,131016,50391,1787160.6666666667,3769.5,9,20200530-124011-131016.jpg
20200530,131021,134026,41299,1797627.0000000002,80473.0,42,20200530-131021-134026.jpg
20200530,140721,143726,31309,1806747.6666666667,2001.5,7,20200530-140721-143726.jpg
20200530,143731,150736,227,1797053.6666666667,2678.5,5,20200530-143731-150736.jpg
20200530,150741,153746,27049,1804568.0,3752.5,8,20200530-150741-153746.jpg
20200530,153751,160756,41198,1624478.6666666667,48729.5,35,20200530-153751-160756.jpg
20200530,180937,183942,52251,1748487.3333333335,7395.5,31,20200530-180937-183942.jpg
20200530,183947,190952,49879,1777141.0,22346.5,22,20200530-183947-190952.jpg
20200530,190957,194002,50762,1766810.3333333333,23326.0,19,20200530-190957-194002.jpg
20200530,194007,201012,44090,1693251.6666666667,139720.0,31,20200530-194007-201012.jpg
20200530,221752,224757,51661,1771162.6666666667,6431.5,13,20200530-221752-224757.jpg
20200530,224802,231807,5809,1759479.6666666667,9434.5,9,20200530-224802-231807.jpg
20200530,231812,234817,152,1607549.6666666667,3381.5,1,20200530-231812-234817.jpg
20200530,234822,000002,466,636729.6666666667,5724.0,2,20200530-234822-000002.jpg
20200531,021736,024741,4908,1665301.3333333333,66124.0,21,20200531-021736-024741.jpg
20200531,024746,031751,39388,1566296.0,139720.0,37,20200531-024746-031751.jpg
20200531,031756,034801,377,1717247.6666666667,513.0,6,20200531-031756-034801.jpg
20200531,034806,041811,7889,1735058.0,18512.5,19,20200531-034806-041811.jpg
20200531,060739,063744,0,1673203.0,0,0,none
20200531,063749,070754,456,1650699.6666666667,3735.0,2,20200531-063749-070754.jpg
20200531,070759,073804,0,1748127.6666666667,0,0,none
20200531,073809,080814,15,1789756.6666666667,265.5,1,20200531-073809-080814.jpg
20200531,080819,083824,49,1710568.3333333335,310.5,4,20200531-080819-083824.jpg
20200531,100930,103935,95,1743684.3333333333,1022.0,2,20200531-100930-103935.jpg
20200531,103940,110945,5,1735553.0,109.0,1,20200531-103940-110945.jpg
20200531,110950,113955,1255,1752508.0,273.0,4,20200531-110950-113955.jpg
20200531,114000,121005,70,1734377.3333333333,264.0,3,20200531-114000-121005.jpg
20200531,121010,124015,0,1756127.0000000002,0,0,none
20200531,140812,143817,15680,1781900.3333333335,48642.0,46,20200531-140812-143817.jpg
20200531,143822,150827,23704,1799665.0000000002,11339.0,21,20200531-143822-150827.jpg
20200531,150832,153837,18200,1807847.3333333335,50008.0,50,20200531-150832-153837.jpg
20200531,153842,160847,49510,1801737.3333333335,52434.5,56,20200531-153842-160847.jpg
20200531,160852,163857,53171,1778214.6666666667,66190.0,58,20200531-160852-163857.jpg
20200531,163902,170907,26288,1767367.3333333333,24102.0,23,20200531-163902-170907.jpg
20200531,170912,173917,10032,1757035.6666666667,3734.0,9,20200531-170912-173917.jpg
20200531,180831,183836,47624,1740990.3333333335,35591.0,38,20200531-180831-183836.jpg
20200531,183841,190846,48343,1787060.0000000002,28391.0,38,20200531-183841-190846.jpg
20200531,190851,193856,53144,1790811.3333333333,7636.0,8,20200531-190851-193856.jpg
20200531,193901,200906,20,1740137.0000000002,1565.0,2,20200531-193901-200906.jpg
20200531,200911,203916,15,1770427.3333333333,10610.5,1,20200531-200911-203916.jpg
20200531,203921,210926,23640,1795424.3333333335,139345.5,34,20200531-203921-210926.jpg
20200531,210931,213936,47892,1794635.3333333335,139720.0,18,20200531-210931-213936.jpg
20200531,221919,224924,1585,1793599.0000000002,2403.0,2,20200531-221919-224924.jpg
20200531,224929,231934,2270,1783849.3333333333,4106.0,3,20200531-224929-231934.jpg
20200531,231939,234944,1792,1786977.0,2268.5,2,20200531-231939-234944.jpg
20200531,234949,000004,872,615444.6666666666,6966.5,3,20200531-234949-000004.jpg
20200601,000009,003014,2533,1790583.0,6554.5,2,20200601-000009-003014.jpg
20200601,003019,010024,1897,1790950.0,2197.5,3,20200601-003019-010024.jpg
20200601,010029,013034,2455,1782054.3333333335,3014.5,2,20200601-010029-013034.jpg
20200601,013039,020044,986,1775156.3333333333,3041.5,2,20200601-013039-020044.jpg
20200601,020735,023740,916,1791060.0000000002,1988.5,1,20200601-020735-023740.jpg
20200601,023745,030750,24461,1782981.0,31060.5,20,20200601-023745-030750.jpg
20200601,030755,033800,33539,1787326.0,105250.5,28,20200601-030755-033800.jpg
20200601,033805,040810,51173,1796027.3333333335,139720.0,34,20200601-033805-040810.jpg
20200601,040815,043820,0,1790980.0,0,0,none
20200601,043825,050830,0,1774452.0,0,0,none
20200601,050835,053840,20682,1775758.0,924.5,3,20200601-050835-053840.jpg
20200601,060816,063821,41188,1790942.6666666667,5230.5,40,20200601-060816-063821.jpg
20200601,063826,070831,46932,1778837.0,6003.0,55,20200601-063826-070831.jpg
20200601,070836,073841,47109,1728446.0000000002,15897.0,63,20200601-070836-073841.jpg
20200601,073846,080851,49358,1763181.3333333335,16173.0,66,20200601-073846-080851.jpg
20200601,080856,083901,50690,1757677.3333333333,18116.5,45,20200601-080856-083901.jpg
20200601,083906,090911,53199,1782025.6666666667,10289.0,44,20200601-083906-090911.jpg
20200601,090916,093921,52408,1761914.6666666667,104999.0,58,20200601-090916-093921.jpg
20200601,100939,103944,47635,1787580.3333333333,85932.0,57,20200601-100939-103944.jpg
20200601,103949,110954,48836,1793931.0,56502.0,71,20200601-103949-110954.jpg
20200601,110959,114004,45157,1769808.6666666667,61136.0,75,20200601-110959-114004.jpg
20200601,114009,121014,20858,1780164.0,56075.5,70,20200601-114009-121014.jpg
20200601,121019,124024,36272,1755574.3333333335,72786.5,70,20200601-121019-124024.jpg
20200601,124029,131034,47043,1783131.3333333335,43372.0,39,20200601-124029-131034.jpg
20200601,131039,134044,16582,1786652.3333333335,52182.5,64,20200601-131039-134044.jpg
20200601,140754,143759,44294,1780175.0000000002,51517.5,71,20200601-140754-143759.jpg
20200601,143804,150809,36438,1790824.0,64872.5,67,20200601-143804-150809.jpg
